Publication Number,Priority Date,Inventor - w/address,Assignee - Original w/address
WO2002083877A1,2001-04-11 | 2002-04-08,"WEISS Samuel,CA | SHINGO Tetsuro,JP","STEM CELL THERAPEUTICS INC.,CA"
WO2003018782A2,2001-08-30 | 2001-08-31 | 2001-09-14 | 2002-06-07 | 2002-08-30,"THOMPSON Bradley G.,CA | WEISS Samuel,CA | SHINGO Tetsuro,JP","STEM CELL THERAPEUTICS INC.,CA | THOMPSON Bradley G.,CA | WEISS Samuel,CA | SHINGO Tetsuro,JP"
WO2004011632A2,2002-07-30 | 2003-07-30,"WEISS Samuel,CA","STEM CELL THERAPEUTICS INC.,CA | WEISS Samuel,CA"
WO2002088330A2,2001-04-27 | 2001-07-20 | 2002-04-26,"WEISS Samuel,CA | CHOJNACKI Andrew K.,CA","STEM CELL THERAPEUTICS INC.,CA | WEISS Samuel,CA | CHOJNACKI Andrew K.,CA"
WO2003024471A2,2001-09-18 | 2002-06-07 | 2002-08-30,"WEISS Samuel,CA | SHINGO Tetsuro,JP","STEM CELL THERAPEUTICS INC.,CA | WEISS Samuel,CA | SHINGO Tetsuro,JP"
WO2003024472A2,2001-09-14 | 2002-06-07 | 2002-08-30,"WEISS Samuel,CA | SHINGO Tetsuro,JP","STEM CELL THERAPEUTICS INC.,CA | WEISS Samuel,CA | SHINGO Tetsuro,JP"
WO2001028574A3,1999-10-20 | 2000-10-20,"FRICKER Rosemary A.,US","STEM CELLS INC.,US"
WO2000047762A2,1999-02-12 | 1999-10-21 | 1999-12-01 | 2000-02-11,"BUCK David W.,US | UCHIDA Nobuko,US | WEISSMAN Irving,US","STEM CELLS INC.,US | BUCK David W.,US | UCHIDA Nobuko,US | WEISSMAN Irving,US"
WO2001028574A2,1999-10-20 | 2000-10-20,"FRICKER Rosemary A.,US","STEM CELLS INC.,US | FRICKER Rosemary A.,US"
WO2008060792A2,2008-04-07,"KELLY David H.,US","STEM CELLS INNOVATIONS,US | KELLY David H.,US"
WO2008060792A9,2008-04-07,"KELLY David H.,US","STEM CELLS INNOVATIONS,US | KELLY David H.,US"
WO2008060792A3,2008-04-07,"KELLY David H.,US","STEM CELLS INNOVATIONS,US | KELLY David H.,US"
WO2007106986A1,2006-03-17 | 2006-04-05 | 2006-10-24 | 2007-03-16,"WEISS Samuel,CA | GREGG Christopher,US | DAVIDOFF Allen,CA | TUCKER Joseph,CA","STEM CELLS THERAPEUTICS CORP.,CA | WEISS Samuel,CA | GREGG Christopher,US | DAVIDOFF Allen,CA | TUCKER Joseph,CA"
WO2010099044A2,2009-02-24 | 2010-02-19,"WANG James,US | CHANG Lufen,US | YEN Yun,US","STEMBIOS TECHNOLOGIES INC.,US | WANG James,US | CHANG Lufen,US | YEN Yun,US"
WO2010083203A2,2009-01-13 | 2010-01-13,"WANG James,US | YEN Yun,US","STEMBIOS TECHNOLOGIES INC.,US | WANG James,US | YEN Yun,US"
WO2010083203A3,2009-01-13 | 2010-01-13,"WANG James,US | YEN Yun,US","STEMBIOS TECHNOLOGIES INC.,US | WANG James,US | YEN Yun,US"
WO2006117889A1,2005-04-28 | 2005-10-25,"YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP","STEMCELL INSTITUTE INC.,JP"
WO2007125916A1,2006-04-24 | 2007-04-24,"FUKUI Akira,JP | YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP","STEMCELL INSTITUTE INC.,JP | FUKUI Akira,JP | YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP"
WO2008004598A1,2006-07-04 | 2007-07-04,"YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP","STEMCELL INSTITUTE INC.,JP | YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP"
WO2005026382A1,2003-09-12 | 2003-10-08 | 2004-02-18 | 2004-04-05 | 2004-06-08 | 2004-09-10,"REYNOLDS Brent A.,AU | LOUIS Sharon A.,CA","STEMCELL TECHNOLOGIES INC.,CA"
WO2000073794A2,1999-05-28 | 2000-03-31 | 2000-05-11 | 2000-05-26,"THOMAS Terry E.,CA | PETERS Carrie,CA | LANSDORP Peter,CA","STEMCELL TECHNOLOGIES INC.,CA | THOMAS Terry E.,CA | PETERS Carrie,CA | LANSDORP Peter,CA"
WO1996039628A1,1995-06-06 | 1996-06-06,WONG Peter M. C. | CHUNG Sui-Wah | HAN Xiaodong,STEMCELL THERAPEUTICS L.L.C.
WO1998050429A1,1997-05-06 | 1998-05-01,"WONG Peter M. C.,US | CHUNG Siu-Wah,US | HAN Xiaodong,US | CHEN Hong,US","STEMCELL THERAPEUTICS LLC,US"
WO2010075500A1,2008-12-23 | 2009-12-23,"CAPELA Alexandra,US | UCHIDA Nobuko,US","STEMCELLS CALIFORNIA INC,US | CAPELA Alexandra,US | UCHIDA Nobuko,US"
WO2006074387A1,2005-01-04 | 2005-10-19 | 2006-01-04,"UCHIDA Nobuko,US | JACOBS Yakop,US | TAMAKI Stan,US","STEMCELLS CALIFORNIA INC.,US"
WO2005021728A3,2003-08-27 | 2004-08-27,"UCHIDA Nobuko,US | TSUKAMOTO Ann,US | TAMAKI Stanley,US | CAPELA Alexandra,US | AUSTIN Tim,US","STEMCELLS CALIFORNIA INC.,US"
WO2005021728A2,2003-08-27 | 2004-08-27,"UCHIDA Nobuko,US | TSUKAMOTO Ann,US | TAMAKI Stanley,US | CAPELA Alexandra,US | AUSTIN Tim,US","STEMCELLS CALIFORNIA INC.,US | UCHIDA Nobuko,US | TSUKAMOTO Ann,US | TAMAKI Stanley,US | CAPELA Alexandra,US | AUSTIN Tim,US"
WO2000047762A3,1999-02-12 | 1999-10-21 | 1999-12-01 | 2000-02-11,"BUCK David W.,US | UCHIDA Nobuko,US | WEISSMAN Irving,US","STEMCELLS INC.,US"
WO2003000848A3,2001-06-22 | 2002-06-21,"LAGASSE Eric,US | AUSTIN Timothy,US","STEMCELLS INC.,US"
WO2001071016A1,2000-03-23 | 2000-07-31 | 2001-03-23,"LAGASSE Eric,US | WEISSMAN Irving L.,US","STEMCELLS INC.,US"
WO2004020597A3,2002-08-27 | 2003-08-27,"UCHIDA Nobuko,US | CAPELA Alexandra,US","STEMCELLS INC.,US"
WO2003000848A2,2001-06-22 | 2002-06-21,"LAGASSE Eric,US | AUSTIN Timothy,US","STEMCELLS INC.,US | LAGASSE Eric,US | AUSTIN Timothy,US"
WO2004020597A2,2002-08-27 | 2003-08-27,"UCHIDA Nobuko,US | CAPELA Alexandra,US","STEMCELLS INC.,US | UCHIDA Nobuko,US | CAPELA Alexandra,US"
WO2005083061A1,2004-02-11 | 2004-02-12 | 2004-05-04,"GENTRY Tracy,US | FOSTER Sandra J.,US | BALBER Andrew E.,US","STEMCO BIOMEDICAL INC.,US"
WO2006130812A2,2005-06-02 | 2005-11-03 | 2006-06-02,"CHOW Robert,US","STEMCYTE INC.,US"
WO2003068172A3,2002-02-14 | 2003-02-14,"CHOW Robert,US | PETZ Lawrence D.,US | PUNZALAN Rubio R.,US | RODGERSON Denis O.,US","STEMCYTE INC.,US"
WO2003045335A3,2001-11-29 | 2002-11-27,"CHOW Robert,US | RODGERSON Denis O.,US | PUNZALAN Rubio R.,US | PETZ Lawrence D.,US","STEMCYTE INC.,US"
WO2006130812A3,2005-06-02 | 2005-11-03 | 2006-06-02,"CHOW Robert,US","STEMCYTE INC.,US | CHOW Robert,US"
WO2003068172A2,2002-02-14 | 2003-02-14,"CHOW Robert,US | PETZ Lawrence D.,US | PUNZALAN Rubio R.,US | RODGERSON Denis O.,US","STEMCYTE INC.,US | CHOW Robert,US | PETZ Lawrence D.,US | PUNZALAN Rubio R.,US | RODGERSON Denis O.,US"
WO2003045335A2,2001-11-29 | 2002-11-27,"CHOW Robert,US | RODGERSON Denis O.,US | PUNZALAN Rubio R.,US | PETZ Lawrence D.,US","STEMCYTE INC.,US | CHOW Robert,US | RODGERSON Denis O.,US | PUNZALAN Rubio R.,US | PETZ Lawrence D.,US"
WO2010135610A2,2009-05-21 | 2010-05-21,"LIN Shinn-Zong,TW | LI Hung,TW | SHYU Woei-Cherng,TW | HSIEH-LI Hsiu-Mei,TW","STEMCYTE INC.,US | LIN Shinn-Zong,TW | LI Hung,TW | SHYU Woei-Cherng,TW | HSIEH-LI Hsiu-Mei,TW"
WO2010117974A2,2009-04-09 | 2010-04-06,"YOUNG Wise,US","STEMCYTE INC.,US | YOUNG Wise,US"
WO2007010394A2,2005-07-19 | 2006-07-19,"VESCOVI Angelo Luigi,IT | REYNOLDS Brent Allan,CA","STEMGEN S.P.A.,IT"
WO2007010394A3,2005-07-19 | 2006-07-19,"VESCOVI Angelo Luigi,IT | REYNOLDS Brent Allan,CA","STEMGEN S.P.A.,IT | VESCOVI Angelo Luigi,IT | REYNOLDS Brent Allan,CA"
WO2006073966A1,2004-12-30 | 2005-04-25 | 2005-12-22,"KRTOLICA Ana,US | SIMON VALLES Carlos,ES | FOULK Russell A.,US","STEMLIFELINE INC.,US"
WO2006073911A1,2004-12-30 | 2005-04-25 | 2005-12-22,"KRTOLICA Ana,US | SIMON VALLES Carlos,ES | FOULK Russell A.,US","STEMLIFELINE INC.,US"
WO2010037134A3,2008-09-29 | 2009-09-29,"KRTOLICA Ana,US | ILIC Dusko,US","STEMLIFELINE INC.,US | KRTOLICA Ana,US | ILIC Dusko,US"
WO2010037134A2,2008-09-29 | 2009-09-29,"KRTOLICA Ana,US | ILIC Dusko,US","STEMLIFELINE INC.,US | KRTOLICA Ana,US | ILIC Dusko,US"
WO2008127735A1,2007-04-13 | 2008-04-14,"BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | BERGSTEIN Ivan,US"
WO2008030538A3,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2008030538A2,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2008030616A3,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2008030617A3,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2008030617A2,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2008030616A2,2006-09-07 | 2007-09-07,"CIRRITO Thomas P.,US | BERGSTEIN Ivan,US","STEMLINE THERAPEUTICS INC.,US | CIRRITO Thomas P.,US | BERGSTEIN Ivan,US"
WO2010107285A2,2009-03-20 | 2010-03-19,"YOU Seungkwon,KR | YOON Byung Sun,KR | JUN Eun Kyoung,KR | MOON Jai-Hee,KR | KIM Jonggun,KR | JUNG Hye-Youn,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR","STEMMEDIENCE CO. LTD,KR | YOU Seungkwon,KR | YOON Byung Sun,KR | JUN Eun Kyoung,KR | MOON Jai-Hee,KR | KIM Jonggun,KR | JUNG Hye-Youn,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR"
WO2010107287A2,2009-03-20 | 2010-03-19,"YOU Seungkwon,KR | YOON Byung Sun,KR | JUNG Hye-Youn,KR | JUN Eun Kyoung,KR | MOON Jai-Hee,KR | KIM Jonggun,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR","STEMMEDIENCE CO. LTD,KR | YOU Seungkwon,KR | YOON Byung Sun,KR | JUNG Hye-Youn,KR | JUN Eun Kyoung,KR | MOON Jai-Hee,KR | KIM Jonggun,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR"
WO2010107286A2,2009-03-20 | 2010-03-19,"YOU Seungkwon,KR | YOON Byung Sun,KR | MOON Jai-Hee,KR | JUN Eun Kyoung,KR | KIM Jonggun,KR | JUNG Hye-Youn,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR","STEMMEDIENCE CO. LTD,KR | YOU Seungkwon,KR | YOON Byung Sun,KR | MOON Jai-Hee,KR | JUN Eun Kyoung,KR | KIM Jonggun,KR | JUNG Hye-Youn,KR | LEE Jung Han,KR | PARK Eulsoon,KR | MAENG Isaac,KR | KIM Jun Sung,KR | LEE Jang Ho,KR | LEE Hwang Heui,KR | LEE Jong Won,KR | CHO Kyoung Shik,KR"
WO2006105152A3,2005-03-31 | 2005-07-14 | 2005-12-02 | 2006-01-18 | 2006-03-29,"CLARKE Diana L.,US | SMITH Charlotte A.,US | BANAS Richard A.,US | MARSHALL Vivienne S.,US","STEMNION INC.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | BANAS Richard A.,US | MARSHALL Vivienne S.,US"
WO2008088738A2,2007-01-17 | 2007-02-21 | 2007-10-04 | 2008-01-11,"MARSHALL Vivienne S.,US | BANAS Richard A.,US | TRUMPOWER Catherine J.,US","STEMNION INC.,US | MARSHALL Vivienne S.,US | BANAS Richard A.,US | TRUMPOWER Catherine J.,US"
WO2008088738A3,2007-01-17 | 2007-02-21 | 2007-10-04 | 2008-01-11,"MARSHALL Vivienne S.,US | BANAS Richard A.,US | TRUMPOWER Catherine J.,US","STEMNION INC.,US | MARSHALL Vivienne S.,US | BANAS Richard A.,US | TRUMPOWER Catherine J.,US"
WO2010085326A1,2009-01-20 | 2009-07-01 | 2010-01-19,"SING George L.,US","STEMNION INC.,US | SING George L.,US"
WO2009008928A2,2007-04-13 | 2007-05-11 | 2007-05-18 | 2008-04-09,"SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US","STEMNION INC.,US | SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US"
WO2009008928A3,2007-04-13 | 2007-05-11 | 2007-05-18 | 2008-04-09,"SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US","STEMNION INC.,US | SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US"
WO2009014668A2,2007-07-24 | 2008-07-21,"SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US","STEMNION INC.,US | SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US"
WO2009014668A3,2007-07-24 | 2008-07-21,"SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US","STEMNION INC.,US | SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US"
WO2009014668A9,2007-07-24 | 2008-07-21,"SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US","STEMNION INC.,US | SING George L.,US | MARSHALL Vivienne S.,US | CLARKE Diana L.,US | SMITH Charlotte A.,US | ROBSON Martin C.,US"
WO2009045359A1,2007-10-01 | 2008-08-08 | 2008-09-29,"SMITH Charlotte A.,US","STEMNION INC.,US | SMITH Charlotte A.,US"
WO2006105152A2,2005-03-31 | 2005-07-14 | 2005-12-02 | 2006-01-18 | 2006-03-29,"CLARKE Diana L.,US | SMITH Charlotte A.,US | BANAS Richard A.,US | MARSHALL Vivienne S.,US","STEMNION LLC,US"
WO2008129560A3,2007-04-20 | 2008-04-11,"DEB Kaushik Dilip,IN | TOTEY Satish Mahadeo,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | DEB Kaushik Dilip,IN | TOTEY Satish Mahadeo,IN"
WO2008129560A2,2007-04-20 | 2008-04-11,"DEB Kaushik Dilip,IN | TOTEY Satish Mahadeo,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | DEB Kaushik Dilip,IN | TOTEY Satish Mahadeo,IN"
WO2008129563A3,2007-04-23 | 2008-04-23,"TOTEY Mahadeorao Satish,IN | KOLKUNDKAR Kumar Uday,IN | PAL Rakhi,IN | HANWATE Madhuri,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Mahadeorao Satish,IN | KOLKUNDKAR Kumar Uday,IN | PAL Rakhi,IN | HANWATE Madhuri,IN"
WO2008129563A2,2007-04-23 | 2008-04-23,"TOTEY Mahadeorao Satish,IN | KOLKUNDKAR Kumar Uday,IN | PAL Rakhi,IN | HANWATE Madhuri,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Mahadeorao Satish,IN | KOLKUNDKAR Kumar Uday,IN | PAL Rakhi,IN | HANWATE Madhuri,IN"
WO2010046903A1,2008-10-24 | 2008-12-05,"TOTEY Satish Mahadeo,IN | DEB Kaushik Dilip,IN | SIVASUBRAMANIYAN Kavitha,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish Mahadeo,IN | DEB Kaushik Dilip,IN | SIVASUBRAMANIYAN Kavitha,IN"
WO2008075378A2,2006-12-19 | 2007-12-17,"TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN"
WO2008075377A3,2006-12-19 | 2007-12-17,"TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN"
WO2008075378A3,2006-12-19 | 2007-12-17,"TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN"
WO2008075377A2,2006-12-19 | 2007-12-17,"TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | KULKARNI Kumar Uday,IN | SAXENA Shobhit,IN"
WO2008026226A2,2006-09-01 | 2007-08-31,"TOTEY Satish,IN | PRASANNA Jyothi,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | PRASANNA Jyothi,IN"
WO2008026226A3,2006-09-01 | 2007-08-31,"TOTEY Satish,IN | PRASANNA Jyothi,IN","STEMPEUTICS RESEARCH PRIVATE LIMITED,IN | TOTEY Satish,IN | PRASANNA Jyothi,IN"
WO2003074668A3,2002-03-01 | 2003-03-03,"HUANG Steve Chien Wen,US | LIN Huan,US","STEMRON INC.,US"
WO2003074668A2,2002-03-01 | 2003-03-03,"HUANG Steve Chien-Wen,US | LIN Huan,US","STEMRON INC.,US"
WO2002057429A3,2001-01-02 | 2002-01-02,"YAN Wen Liang,US","STEMRON INC.,US"
WO2004003182A2,2002-06-26 | 2003-06-26,"YAN Wen Liang,US | HUANG Steve Chien-Wen,US | NGUYEN Minh-Thanh,US | LIN Hua Helen,US | LEI Jingqi,US | KHANNA Ruchi,US","STEMRON INC.,US"
WO2004003182A3,2002-06-26 | 2003-06-26,"YAN Wen Liang,US | HUANG Steve Chien-Wen,US | NGUYEN Minh-Thanh,US | LIN Hua Helen,US | LEI Jingqi,US | KHANNA Ruchi,US","STEMRON INC.,US"
WO2002102997A3,2000-11-30 | 2001-11-30,"YAN Wen Liang,US | LEI Jingqi,US | LIN Hua Helen,US | KHANNA Ruchi,US | HUANG Steve Chien Wen,US | NGUYEN Minh Thanh,US","STEMRON INC.,US"
WO2002102997A2,2000-11-30 | 2001-11-30,"WEN Liang Yan,US","STEMRON INC.,US | WEN Liang Yan,US"
WO2002057429A2,2001-01-02 | 2002-01-02,"YAN Wen Liang,US","STEMRON INC.,US | YAN Wen Liang,US"
WO2007125420A3,2006-05-02 | 2007-04-30,"KLEINBLOESEM Cornelis H.,NL | GILES Paul,GB","STEMWELL LLC,US | KLEINBLOESEM Cornelis H.,NL | GILES Paul,GB"
WO2007125420A2,2006-05-02 | 2007-04-30,"KLEINBLOESEM Cornelis H.,NL | GILES Paul,GB","STEMWELL LLC,US | KLEINBLOESEM Cornelis H.,NL | GILES Paul,GB"
WO2010141990A1,2009-06-10 | 2010-06-10,"KASEKO Galina,AU | MAHAWORASILPA Tohsak L.,AU","STEPHEN SANIG RESEARCH INSTITUTE LTD.,AU | KASEKO Galina,AU | MAHAWORASILPA Tohsak L.,AU"
WO2008144594A1,2007-05-17 | 2008-05-17,"VISWANATHAN Raju R.,US | MUNGER Gareth T.,US | PANDEY Ashwini K.,US","STEREOTAXIS INC.,US | VISWANATHAN Raju R.,US | MUNGER Gareth T.,US | PANDEY Ashwini K.,US"
WO1996023872A1,1995-02-02 | 1996-01-17,KWEKKEBOOM Jacob | BUURMAN Dani�l Everardus Petrus | LOOS Johannes Antonius Centraal Laboratorium van de Bloedtransfusiedienst van het Nederlandse Rode Kruis | SLAPER-CORTENBACH Clasina Maria Centraal Laboratorium van de Bloedtransfusiedienst van het Nederlandse Rode Kruis,STICHTING CENTRAAL LABORATORIUM VAN DE BLOEDTRANSFUSIEDIENST VAN HET NEDERLANDSE RODE KRUIS | KWEKKEBOOM Jacob | BUURMAN Dani�l Everardus Petrus | LOOS Johannes Antonius Centraal Laboratorium van de Bloedtransfusiedienst van het Nederlandse Rode Kruis | SLAPER-CORTENBACH Clasina Maria Centraal Laboratorium van de Bloedtransfusiedienst van het Nederlandse Rode Kruis
WO2006110031A1,2005-04-12 | 2006-04-11,"FISCHER Sabine,NL | VAN EE Renz Jeroen,NL","STICHTING DUTCH POLYMER INSTITUTE,NL"
WO2006066965A2,2004-12-24 | 2005-09-23 | 2005-12-23,"HESSELS Daphne,NL | VERHAEGH Gerald,NL | SCHALKEN Jack A.,NL | WITJES Alfred J.,NL","STICHTING KATHOLIEKE UNIVERSITEIT THE UNIVERSITYMEDICAL,NL"
WO2001094940A1,2000-06-05 | 2001-05-31,"HACK Cornelis Erik,NL | GOULMY Elsa Afra Julia Maria,NL","STICHTING SANQUIN BLOEDVOORZIENING,NL"
WO2007108689A3,2006-03-21 | 2007-03-21,"HELDER Martinus Nicolaas,NL | WUISMAN Paulus Ignatius Jozef Maria,NL | ZANDIEH DOULABI Behrouz,NL","STICHTING SKELETAL TISSUE ENGINEERING,NL | HELDER Martinus Nicolaas,NL | WUISMAN Paulus Ignatius Jozef Maria,NL | ZANDIEH DOULABI Behrouz,NL"
WO2007108689A2,2006-03-21 | 2007-03-21,"HELDER Martinus Nicolaas,NL | WUISMAN Paulus Ignatius Jozef Maria,NL | ZANDIEH DOULABI Behrouz,NL","STICHTING SKELETAL TISSUE ENGINEERING,NL | HELDER Martinus Nicolaas,NL | WUISMAN Paulus Ignatius Jozef Maria,NL | ZANDIEH DOULABI Behrouz,NL"
WO2007030012A2,2005-09-05 | 2006-09-05,"KRAHN Katherine Bell Nash,US | MERKX Maarten,NL | BOUTEN Carolina Victoria Catharina,NL | STRIJKERS Gustav J.,NL","Stichting voor de Technische Wetenschappen,NL | Technische Universiteit Eindhoven,NL"
WO2007030012A3,2005-09-05 | 2006-09-05,"KRAHN Katherine Bell Nash,US | MERKX Maarten,NL | BOUTEN Carolina Victoria Catharina,NL | STRIJKERS Gustav J.,NL","Stichting voor de Technische Wetenschappen,NL | Technische Universiteit Eindhoven,NL | KRAHN Katherine Bell Nash,US | MERKX Maarten,NL | BOUTEN Carolina Victoria Catharina,NL | STRIJKERS Gustav J.,NL"
WO2006088310A1,2005-02-15 | 2006-02-15,"CHEY Won Young,KR | LEE Ai Young,KR","STIEFEL LABORATORIES KOREA,KR"
WO2003066840A3,2002-02-06 | 2003-02-05,"SCHIERHOLZ J�rg,DE | BRENNER N.,DE | ZEILHOFER F.,CH | HOFFMANN K. H.,DE | MORSCZECK Christian,DE","STIFTUNG CAESAR,DE"
WO2007014639A3,2005-07-29 | 2006-06-27 | 2006-07-17,"THIE Michael,DE | DEGISTIRICI �zer,DE","STIFTUNG CAESAR,DE"
WO2006100088A1,2005-03-23 | 2006-03-23,"THIE Michael,DE | DEGISTIRICI �zer,DE","STIFTUNG CAESAR,DE"
WO2007014639A2,2005-07-29 | 2006-06-27 | 2006-07-17,"THIE Michael,DE | DEGISTIRICI �zer,DE","STIFTUNG CAESAR,DE"
WO2007017050A3,2005-07-29 | 2006-07-17,"SIEMONSMEIER J�rgen,DE | THIE Michael,DE | DEGISTIRICI �zer,DE | G�TZ Werner,DE","STIFTUNG CAESAR,DE | RHEINISCHE FRIEDRICH WILHELMS UNIVERSIT�T BONN,DE"
WO2007017050A2,2005-07-29 | 2006-07-17,"SIEMONSMEIER J�rgen,DE | THIE Michael,DE | DEGISTIRICI �zer,DE | G�TZ Werner,DE","STIFTUNG CAESAR,DE | RHEINISCHE FRIEDRICH WILHELMS UNIVERSIT�T BONN,DE"
WO2007017050A8,2005-07-29 | 2006-07-17,"SIEMONSMEIER J�rgen,DE | THIE Michael,DE | DEGISTIRICI �zer,DE | G�TZ Werner,DE","STIFTUNG CAESAR,DE | RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSIT�T BONN,DE | SIEMONSMEIER J�rgen,DE | THIE Michael,DE | DEGISTIRICI �zer,DE | G�TZ Werner,DE"
WO2003066840A2,2002-02-06 | 2003-02-05,"SCHIERHOLZ J�rg,DE | BRENNER N.,DE | ZEILHOFER F.,DE | HOFFMANN K. H.,DE | MORSCZECK Christian,DE","STIFTUNG CAESAR,DE | SCHIERHOLZ J�rg,DE | BRENNER N.,DE | ZEILHOFER F.,DE | HOFFMANN K. H.,DE | MORSCZECK Christian,DE"
WO2008092440A3,2007-02-01 | 2008-02-01,"THIE Michael,DE | DEGISTIRICI �zer,DE","STIFTUNG CAESAR,DE | THIE Michael,DE | DEGISTIRICI �zer,DE"
WO2008092440A2,2007-02-01 | 2008-02-01,"THIE Michael,DE | DEGISTIRICI �zer,DE","STIFTUNG CAESAR,DE | THIE Michael,DE | DEGISTIRICI �zer,DE"
WO2006119727A1,2005-05-09 | 2006-04-26,"TONAK Markus,DE | KASTEN Philip,DE | VOGEL Julia,DE | RICHTER Wiltrud,DE","STIFTUNG ORTHOP�DISCHE UNIVERSIT�TSKLINIK,DE"
WO2008115087A1,2007-03-20,"STOJKOVIC Miodrag,RS","STOJKOVIC Miodrag,RS"
WO2003106657A2,2002-06-14 | 2003-06-16,"KRUMLAUF Robb,US | ELLIES Debra,US","STOWERS INSTITUTE FOR MEDICAL RESEARCH,US"
WO2005117994A2,2004-06-03 | 2005-06-03,LI Linheng | HE Xi,"STOWERS INSTITUTE FOR MEDICAL RESEARCH,US"
