Publication Number,Title,Claims
WO2009064944A3,ANTIBODIES TO LRP6 ,
WO1996017627A3,"SYSTEM FOR THE MAINTENANCE, GROWTH AND DIFFERENTIATION OF HUMAN AND NON- HUMAN PRIMATE PLURIPOTENT STEM, PROGENITOR AND MATURE BONE MARROW CELLS ",
WO2002077204A3,STEM CELL DIFFERENTIATION ,
WO2010021412A1,"THERAPEUTIC MATERIAL FOR CEREBRAL INFARCTION, AND METHOD FOR REGENERATION OF BRAIN TISSUE ",
WO2001033957A1,TRANSGENIC NON-HUMAN MAMMALS FOR MONITORING CHANGE IN CALCIUM ION CONCENTRATION IN CELLS ,
WO2007100543A3,EXTRACELLULAR MATRIX TO TREAT MALIGNANCY IN MAMMALS ,
WO2009090933A1,VIRUS GROWING IN HYPOXIC CELL OR VIRUS VECTOR EXPRESSING GENE THEREIN ,
WO2004012503A3,COMPOSITIONS COMPRISING MUSCLE PROGENITOR CELLS AND USES THEREOF ,
WO2008076556A3,GENERATION OF INNER EAR CELLS ,
WO2003020896A3,PRODUCTION OF CULTURED HUMAN MAST CELLS AND BASOPHILS FOR HIGH THROUGHPUT SMALL MOLECULE DRUG DISCOVERY ,
WO2003045137A1,METHOD OF CONSTRUCTING SPINAL INJURY MODEL MONKEY AND UTILIZATION THEREOF ,
WO2008003042A3,AMNION-DERIVED STEM CELLS AND USES THEREOF ,
WO2007014323A3,USE OF HEAT SHOCK TO TREAT OCULAR DISEASE ,
WO2007078990A3,MODIFIED LYSINE-MIMETIC COMPOUNDS ,
WO2005011569A3,METHODS OF USING ADIPOSE TISSUE-DERIVED CELLS IN AUGMENTING AUTOLOGOUS FAT TRANSFER ,
WO2008101693A3,COSMETIC AND PHARMACEUTICAL APPLICATIONS OF N-ACYLATED AMINO ACIDS AND STRUCTURALLY RELATED COMPOUNDS ,
WO2009074950A3,THIOPHENE DERIVATIVES AS AGONISTS OF S1P1/EDG1 ,
WO2006124340A3,MICROFLUIDIC SYSTEM FOR IDENTIFYING OR SIZING INDIVIDUAL PARTICLES PASSING THROUGH A CHANNEL ,
WO2008084319A3,NOVEL NUCLEIC ACID ,
WO2005046571A3,LACTOFERRIN AS AN ADJUVANT IN CANCER VACCINES ,
WO2005021744A1,DIGITAL CELL ,
WO2007073177A3,COMPOSITION COMPRISING POLYUNSATURATED FATTY ACIDS FOR IMPROVING MEMBRANE COMPOSITION ,
WO2006093153A1,"CULTURED CELL SHEET, PROCESS FOR PRODUCING THE SAME AND METHOD FOR RESTORING TISSUE USING THE SAME ",
WO2009158238A3,FIBROBLAST GROWTH FACTOR (FGF) ANALOGS AND USES THEREOF ,
WO2004061092A1,METHOD OF CULTURING PLURIPOTENT STEM CELLS AND CULTURE APPARATUS THEREFOR ,
WO2002076386A3,METHOD OF INDUCING PROLIFERATION OF RETINAL STEM CELLS ,
WO2006102209A3,CD34(+) CELLS AND THEIR METHODS OF USE ,
WO2009136283A3,MULTIPOTENT ADULT STEM CELL POPULATION ,
WO2008115246A3,APPARATUS AND METHODS FOR INTERLOCKING STENT SEGMENTS ,
WO2006074405A3,PECAM-1 GENOTYPE ,
WO2001076507A3,USE OF OXYGEN CARRIERS TO IMPROVE GRAFTED CELL SURVIVAL IN NEURAL TRANSPLANTATION ,
WO2006136374A3,USE OF GIP AND/OR VITAMIN D3 ANALOGUES THEREOF FOR ENHANCING STEM OR PROGENITOR CELL DIFFERENTIATION INTO INSULIN PRODUCING CELLS ,
WO2003085399A1,"METHOD OF JUDGING LEUKEMIA, PRE-LEUKEMIA OR ALEUKEMIC MALIGNANT BLOOD DISEASE AND DIAGNOSTIC THEREFOR ",
WO2006121579A3,TARGETED GENE ADDITION IN STEM CELLS ,
WO2009020650A3,MATERIALS AND METHODS FOR TREATING AND MANAGING WOUNDS AND THE EFFECTS OF TRAUMA ,
WO2007139951A3,METHOD FOR TREATING PROLIFERATIVE DISORDERS ASSOCIATED WITH PROTOONCOGENE PRODUCTS ,
WO2006057444A1,METHOD OF AUTOMATICALLY EVALUATING DIFFERENTIATION DEGREE OF CELLS ,
WO2008112904A3,ADHERING SURFACES ,
WO1999033857A1,BONE-RESORPTIVE CYTOKINE INHIBITOR CONTAINING DIENOGEST AS THE ACTIVE INGREDIENT ,
WO2008054894A3,INTRAOSSEOUS DEVICE SUPPORTS AND FLUID COMMUNICATION MEANS ,
WO2006135886A3,COMPOSITIONS AND METHODS FOR TREATING AND DIAGNOSING CANCER ,
WO2000006705A3,GENETICALLY MODIFIED CD34-NEGATIVE ADHERENTLY GROWING STEM CELLS AND THEIR USE IN GENE THERAPY ,
WO2008078325A3,A METHOD OF TREATING SCHIZOPHRENIA ,
WO2000063410A9,METHODS AND COMPOSITIONS FOR TRANSFORMING CELLS USING SITE-SPECIFIC RECOMBINATION ,
WO2008036846A3,COMBINATION COMPRISING AN HMG-COA REDUCTASE INHIBITOR AND A SECOND NEUROGENIC AGENT FOR TREATING A NERVOUS SYSTEM DISORDER AND INCREASING NEUROGENESIS ,
WO2008056368A3,USE OF EX-VIVO CULTURED HEMATOPOIETIC CELLS FOR TREATMENT OF PERIPHERAL VASCULAR DISEASES ,
WO2006030970A1,NONHUMAN ANIMAL WITH FICOLIN-A GENE FUNCTION DELETED ,
WO2003018803A1,"ESTABLISHED FAT CELL PRECURSORS, METHOD OF PREPARING THE SAME AND METHOD OF USING THE SAME ",
WO2003045335A3,STEM CELL SCREENING AND TRANSPLANTATION THERAPY FOR HIV INFECTION ,
WO2002068642A1,A NOVEL POLYPEPTIDE COMPOSE SUBSTANCE FOR PROMOTING BLOOD AND BLOOD VESSEL CELL GROWTH ,
WO2009134532A3,HOMING IN MESENCHYMAL STEM CELLS ,
WO2005047491A3,METHODS OF USING G-CSF MOBILIZED C-KIT+CELLS IN THE PRODUCTION OF EMBRYOID BODY-LIKE CELL CLUSTERS FOR TISSUE REPAIR AND IN THE TREATMENT OF CARDIAC MYOPATHY ,
WO2004076661A1,ESTABLISHMENT OF DISEASE NERVE CELLS BY COMBINING METHOD OF HIGHLY EFFICIENTLY INDUCING NERVE DIFFERENTIATION WITH DISEASE MUTATION KNOCKIN ES CELLS ,
WO2009057079A3,NOVEL PYRIMIDINE DERIVATIVES ,
WO2004072231A3,PATHOGEN INACTIVATION ASSAY ,
WO2007021003A1,"Nato3, MARKER OF GROWING PROGENITOR CELL OF DOPAMINE-PRODUCING NEURON ",
WO2008022278A3,ATYPICAL PKC MEDIATES WNT SIGNALING IN GROWTH CONE GUIDANCE ,
WO2002064756A3,STEM CELL IDENTIFICATION ,
WO2002081663A1,"PROCESS FOR PRODUCING NERVE STEM CELLS, MOTOR NEURONS AND GABAERGIC NEURONS FROM EMBRYONIC STEM CELLS ",
WO2009023566A3,METHOD OF TREATING AUTOIMMUNE DISEASE WITH MESENCHYMAL STEM CELLS ,
WO2002100168A1,A METHOD FOR CONSTRUCTING A CLONED MAMMALIAN EMBRYO ,
WO2008091888A3,"NOVEL GENE DISRUPTIONS, COMPOSITIONS AND METHODS RELATING THERETO ",
WO2006098758A3,"COMPOSITIONS, METHODS AND KITS RELATING TO CTHRC1, A NOVEL MODULATOR OF COLLAGEN MATRIX ",
WO2007147014A3,METHOD AND SYSTEMS FOR USING BIOPOLYMER-BASED BEADS AND HYDROGELS ,
WO2003071869A1,METHOD OF CONSTRUCTING GERMLINE CHIMERIC ANIMAL ,
WO2008006036A3,CONDITIONED CELL IMMUNIZATION ,
WO2002064755A3,"POST-PARTUM MAMMALIAN PLACENTA, ITS USE AND PLACENTAL STEM CELLS THEREFROM ",
WO2010009312A3,"COMPOSITIONS COMPRISING MG29 NUCLEIC ACIDS, POLYPEPTIDES AND ASSOCIATED METHODS OF USE ",
WO2008156221A1,REPAIR AND TREATMENT OF BONE DEFECT BY USING FACTOR PRODUCED BY CHONDROCYTE HAVING HYPERTROPHIC ABILITY AND SCAFFOLD ,
WO2008131431A8,MODULATION OF BLOOD BRAIN BARRIER PROTEIN EXPRESSION ,
WO2007058105A1,METHOD FOR PRODUCING PANCREAS FROM ES CELL ,
WO2008143979A3,TUMOR SUPPRESSOR GENE SCREENING USING RNA INTERFERENCE LIBRARIES AND METHOD OF TREATMENT ,
WO2006090882A1,METHOD FOR AMPLIFICATION OF ENDOTHELIAL PROGENITOR CELL IN VITRO ,
WO2007146440B1,GLUCAN PREPARATIONS ,
WO2009032994A3,NANOPARTICULES À BASE DE SILICE ET PROCÉDÉ DE STIMULATION DE LA FORMATION OSSEUSE ET DE SUPPRESSION DE LA RÉSORPTION OSSEUSE PAR MODULATION DE NF-KB ,
WO2010083203A3,NON-EMBRYONIC STEM CELLS AND USES THEREOF ,
WO2009065001A3,CARDIAC CONDUCTION SYSTEM (CCS) PROGENITOR CELLS AND USES THEREOF ,
WO2005056755A3,COMPOSITIONS AND METHODS FOR PROPAGATION OF NEURAL PROGENITOR CELLS ,
WO2010017378A3,METHODS AND COMPOSITIONS FOR VASCULOGENIC POTENTIAL DETERMINATION ,
WO2004078944A3,"THROMBIN, SOLUBLE JAGGEDI, AND TRAP AND GROWTH OF STEM CELLS ",
WO2007026362A3,CROSS-LINKED POLYSACCHARIDE AND PROTEIN MATRICES AND METHODS FOR THEIR PREPARATION ,
WO2005042730A3,METHOD AND SYSTEM FOR PREPARING STEM CELLS FROM FAT TISSUE ,
WO2009085216A3,COMPOSITIONS AND METHODS FOR DETECTING OR ELIMNINATING SENESCENT CELLS TO DIAGNOSE OR TREAT DISEASE ,
WO2009155505A3,MICROVESICLE-BASED COMPOSITIONS AND METHODS ,
WO2010000125A1,"THE KEY TECHNOLOGIES OF ISOLATION, PURIFICATION, FREEZE-DRYING, ANABIOSIS OF FETAL LIVER HEMOPOIETIC STEM CELL AND THE PREPARATION METHODS ",
WO2007070883A3,HYPOTHERMIC TOOTH TRANSPORT SYSTEM ,
WO2003006613A3,METHODS FOR EX VIVO PROPAGATION OF SOMATIC STEM CELLS ,
WO2003048344A3,DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS IN AVIAN EMBRYOS ,
WO2010002955A3,STEMNESS SIGNATURE BIOMARKERS AND METHODS OF USE ,
WO2008101692A3,COSMETIC AND PHARMACEUTICAL APPLICATIONS OF N-ACETYLHYDROXYPROLINE ,
WO2001096533A1,MONKEY-ORIGIN EMBRYONIC STEM CELLS ,
WO2008063092A3,MICROSTRUCTURAL PROTEIN PREPARATIONS CONTAINING ADSORBED BIOLOGICALLY ACTIVE SUBSTANCES AND THEIR APPLICATION IN MEDICINE AND COSMETICS ,
WO2007123579B1,TRANSLATIONAL DYSFUNCTION BASED THERAPEUTICS ,
WO2010045229A3,PROTECTING AND REPAIRING CARTILAGE AND MUSCULOSKELETAL SOFT TISSUES ,
WO2010033773A3,"DIAGNOSTIC, PROGNOSTIC AND THERAPEUTIC USES OF MIRS IN ADAPTIVE PATHWAYS AND/OR DISEASE PATHWAYS ",
WO2010095685A1,CULTURE MEDIUM AND METHOD TO INDUCE DIFFERENTIATION INTO BONE CELLS ,
WO2002033053A3,METHOD FOR ENHANCING PRIMORDIAL GERM CELL NUMBER ,
WO2006115274A1,MYELOERYTHROID PROGENITOR DIFFERENTIATION INDUCER ,
WO2000079275A1,DIAGNOSTICS AND REMEDIES FOR DISEASES WITH PARTICIPATION OF MACROCYTES/MACROPHAGES ,
WO2004093890A2,PHARMACEUTICAL COMPOSITION COMPRISING BIOELEMENT (ENZYME AND FACTOR) ,
WO2007012811A3,PROSTATE STEM CELL MARKERS ,
WO2008135207A8,IMPLANTABLE SYSTEM FOR AN INTERVERTEBRAL DISC AND INTERVERTEBRAL DISC IMPLANT ,
WO2008051568A3,METHODS AND COMPOSITIONS FOR TREATMENT OF BONE DEFECTS WITH PLACENTAL CELL POPULATIONS ,
WO2007058308A1,AQUEOUS SOLUTION FOR CELL PRESERVATION ,
WO2007147165A3,HUMAN CANCER STEM CELL CULTURE COMPOSITIONS COMPRISING ERBB2 VARIANTS AND METHODS OF USE THEREOF ,
WO2009119105A1,METHOD FOR IN VITRO PREPARATION OF GPIb?+GPV+GPVI+ PLATELET ,
WO2005079145A8,TISSUE SYSTEM WITH UNDIFFERENTIATED STEM CELLS DERIVED FROM CORNEAL LIMBUS ,
WO2002083864A3,METHODS AND REAGENTS FOR CELL TRANSPLANTATION ,
WO2002055677A1,TRANSPLANTATION CELL KITS FOR RE-MYELINATION IN NERVE CELLS ,
WO2008057443A3,BONE MARROW-DERIVED MESENCHYMAL STEM CELLS AS A SOURCE OF NEURAL PROGENITORS ,
WO2007026772A1,TRANSGENIC AVIAN WHICH HAS FOREIGN GENE CONTAINING SEQUENCE ENCODING FELINE-DERIVED PROTEIN AND METHOD FOR PRODUCTION THEREOF ,
WO2007118680A3,REMEDIES FOR ISCHEMIA ,
WO2005081699A3,"BIOMIMETIC ORGANIC/INORGANIC COMPOSITES, PROCESSES FOR THEIR PRODUCTION, AND METHODS OF USE ",
WO2005017131A3,METHODS FOR THE DIFFERENTIATION OF HUMAN STEM CELLS ,
WO2007026773A1,PROCESSEUR DE DIAGNOSTIC MÉDICAL ,
WO2005075002A1,MEDICAL MATERIAL AND PROCESS FOR PRODUCING THE SAME ,
WO2010009121A3,COLON STEM CELLS ASSOCIATED WITH COLITIS AND COLORECTAL CANCER AND METHODS OF USE ,
WO2005120090A3,IN VITRO TECHNIQUES FOR USE WITH STEM CELLS ,
WO2005084742A1,CUFF MEMBER ,
WO2007087436A3,MODIFICATION OF CHEMICAL FORCES OF BONE CONSTRUCTS ,
WO2006062249A1,SUBSTITUTED HETEROCYCLIC COMPOUND AND THROMBOPOIETIN RECEPTOR ACTIVATOR ,
WO2007033330A3,STEM CELLS ,
WO2009004664A8,"IMMORTALIZED CELL LINE OF MURINE MESENCHYMAL STEM CELLS, METHOD FOR PREPARATION AND USES THEREOF ",
WO2010090843A3,GINGIVA DERIVED STEM CELL AND ITS APPLICATION IN IMMUNOMODULATION AND RECONSTRUCTION ,
WO2010056145A1,METHOD FOR MODERATELY INCREASING THE PROTON CONDUCTIVITY OF BIOLOGICAL MEMBRANES WITH THE AID OF MITOCHONDRIA-TARGETED DELOCALIZED CATIONS ,
WO2007080621A8,"LUMINESCENT TRANSGENIC NON HUMAN ANIMALS, PROGENY, CELL DERIVATIVES AND USES THEREOF ",
WO2008107912A3,IN VITRO ASSAY METHODS FOR CLASSIFYING EMBRYOTOXICITY OF COMPOUNDS ,
WO2003078599A3,METHOD FOR GENERATING PRIMATE TROPHOBLASTS ,
WO2002072866A3,METHOD FOR QUANTITATIVE MEASUREMENT OF GENE EXPRESSION FOR IDENTIFYING INDIVIDUALS AT RISK FOR BRONCHOGENIC CARCINOMA ,
WO2007137769A3,METHOD FOR THE IN VITRO PREPARATION OF LIVING CELLS AND/OR CELL ACCUMULATIONS FROM TISSUE ,
WO2000046348A1,"METHOD FOR INDUCING DIFFERENTIATION INTO ADIPOCYTES, COMPOUND REGULATING DIFFERENTIATION INTO ADIPOCYTES AND METHOD FOR SCREENING THE SAME ",
WO2010028087A3,NANOPARTICLE-STEM CELL CONJUGATES FOR POST-INFARCTION TREATMENT ,
WO2005065354A3,DEFINED MEDIA FOR PLURIPOTENT STEM CELL CULTURE ,
WO2010037127A8,CHROMENONE ANALOGS AS SIRTUIN MODULATORS ,
WO2006138430A3,MIG-6 KNOCKOUT MICE AND ELUCIDATION OF ASSOCIATION OF MIG- 6 WITH EARLY ONSET DEGENERATIVE JOINT DISEASE AND ROLE AS A TUMOR SUPPRESSOR ,
WO2010042669A3,CO-CULTURE COMPOSITIONS AND METHODS ,
WO2009114826A3,TREATMENT SYSTEMS AND METHODS FOR RENAL-RELATED DISEASES ,
WO2007143204A8,COMPOSITIONS AND METHODS FOR MODIFYING CELL SURFACE GLYCANS ,
WO2004044142A3,MESENCHYMAL STEM CELLS AND METHODS OF USE THEREOF ,
WO2007147058A3,METHOD AND APPARATUS FOR IDENTIFYING AND TREATING MYOCARDIAL INFARCTION ,
WO2002089727A3,METHODS OF USING CYTOKINE C17 ,
WO2003010302A1,CULTURED CELL CONSTRUCT CONTAINING SPHEROIDS OF CULTURED ANIMAL CELLS AND UTILIZATION THEREOF ,
WO1989009787A1,,
WO2005033298A1,METHOD OF INDUCING THE DIFFERENTIATION OF STEM CELLS INTO MYOCARDIAL CELLS ,
WO2006119406A3,COMPOSITIONS AND METHODS FOR INCREASING OSTEOBLAST CELL DIFFERENTIATION AND BONE GENERATION ,
WO2004060867A3,SECRETED PROTEIN FACTOR AND CELL MEMBRANE-BOUND SPLICE VARIANT ,
WO2007110966A1,METHOD FOR PREPARATION OF HEPATOCYTE USING ES CELL ,
WO2006029347A3,INTEGRIN CD18 IS A NOVEL STROMAL STEM CELL MARKER AND FUNCTIONS TO PROMOTE OSTEOGENESIS ,
WO2006073446A3,PEPTIDE-MEDIATED PROTEIN TRANSDUCTION INTO CELLS THE HEMATOPOIETIC LINEAGE ,
WO2001046384A3,A METHOD FOR ISOLATING AND PURIFYING MULTIPOTENTIAL NEURAL PROGENITOR CELLS AND MULTIPOTENTIAL NEURAL PROGENITOR CELLS ,
WO2003052424A3,METHODS AND MEANS FOR MODULATING THE IMMUNE RESPONSE ,
WO2007130612A3,METHOD FOR OBTAINING AND STORING MULTIPOTENT STEM CELLS ,
WO2003004626B1,A BIOPROCESS FOR THE GENERATION OF CELLS DERIVED FROM SPHEROID-FORMING CELLS ,
WO2001087058A1,CHIMERIC MOUSE HAVING IMMUNITY CONSTRUCTED BY USING HUMAN CD34-POSITIVE CELLS AND USE THEREOF ,
WO2006060193A3,COMPOSITIONS AND METHODS FOR STEM CELL EXPANSION ,
WO2009033033A3,COMPOSITIONS OF KINASE INHIBITORS AND THEIR USE FOR TREATMENT OF CANCER AND OTHER DISEASES RELATED TO KINASES ,
WO2009136173A3,BIOMIMETIC CELL SCAFFOLDS ,
WO2006044842A3,PANCREATIC ISLET BETA-CELL-LIKE MACROPHAGES AND METHODS TO PRODUCE THEM ,
WO2005085424A3,ENDOTHELIAL PROGENITOR CELLS AND METHODS OF USE THEREOF ,
WO2007143117A3,DIFFERENTIATION OF PRIMATE PLURIPOTENT CELLS TO HEPATOCYTE-LINEAGE CELLS ,
WO2007133653A3,METHODS FOR TREATING BLOOD DISORDERS ,
WO2007128982A3,COMPOSITIONS AND METHODS FOR EPIGENETIC MODIFICATION OF NUCLEIC ACID SEQUENCES IN VIVO ,
WO2004082703A1,COMBINED USE OF G-CSF WITH ANGIOGENETIC FACTOR ,
WO2008060610A3,SYSTEMIC ADMINISTRATION OF COLONY STIMULATING FACTORS TO TREAT AMYLOID ASSOCIATED DISORDERS ,
WO2006047954A1,THE METHOD OF OBTAINING AND APPLYING THE MATERIALS FOR AUTOANTIGEN IMMUNOLOGICAL RECOGNITION ,
WO2008089452A3,METHODS OF MODIFYING MYOCARDIAL INFARCTION EXPANSION ,
WO2010104014A1,CELL SEPARATION METHOD ,
WO2007120911A3,CELLULAR LABELING AND QUANTIFICATION FOR NUCLEAR MAGNETIC RESONANCE TECHNIQUES ,
WO2007148098A3,METHODS OF PRODUCING AND PROPAGATING NEURAL PRECURSOR CELLS ,
WO2008100627A3,THE SECRETED PROTEIN CCDC80 REGULATES ADIPOCYTE DIFFERENTIATION ,
WO2006132248A1,METHOD FOR UBIQUITINATION OF RUNX ,
WO2003060062A3,"METHODS OF INDUCING DIFFERENTIATION IN STEM CELLS, METHODS OF GENERATING TISSUE USING SCAFFOLD MATRICES DERIVED FROM MICRO-ORGANS AND STEM CELLS, METHODS OF PRODUCING ADULT STEM CELLS AND METHODS OF CONTINUOUSLY GENERATING STEM CELLS BY IMPLANTATION OF MICRO-ORGANS AS SOURCES OF STEM CELLS ",
WO2008057160A3,COMPOSITIONS AND MULTIPLEX ASSAYS FOR MEASURING BIOLOGICAL MEDIATORS OF PHYSIOLOGICAL HEALTH ,
WO2004087020A1,MATERIAL FOR REPAIRING BIOLOGICAL TISSUES AND PROCESS FOR PRODUCING THE SAME ,
WO2005001033A3,TOLERANCE INDUCTION AND MAINTENANCE IN HEMATOPOIETIC STEM CELL ALLOGRAFTS ,
WO1991018925A1,NOVEL MEGAKARYOCYTE COLONY STIMULATING FACTOR AND PRODUCTION THEREOF ,
WO2009057111A3,HUMAN STEM CELL-DERIVED NEURAL PRECURSORS FOR TREATMENT OF AUTOIMMUNE DISEASES OF THE CENTRAL NERVOUS SYSTEM ,
WO2007047894A3,"TOTIPOTENT, NEARLY TOTIPOTENT OR PLURIPOTENT MAMMALIAN CELLS HOMOZYGOUS OR HEMIZYGOUS FOR ONE OR MORE HISTOCOMPATIBILITY ANTIGEN GENES ",
WO2007033331A3,STEM CELLS ,
WO2010075026A3,METHODS FOR DETERMINING EFFICACY OF A THERAPEUTIC REGIMEN AGAINST DELETERIOUS EFFECTS OF CYTOTOXIC AGENTS IN HUMAN ,
WO2003051283A3,ENGINEERED BONE MARROW ,
WO2008112226A3,CRE-LOX BASED GENE KNOCKDOWN CONSTRUCTS AND METHODS OF USE THEREOF ,
WO2004074445A3,MODEL FOR STUDYING THE ROLE OF GENES IN TUMOR RESISTANCE TO CHEMOTHERAPY ,
WO1997016535A3,METHODS FOR USE OF MPL LIGANDS WITH PRIMITIVE HUMAN STEM CELLS,
WO2001019977A9,EMBRYONIC OR STEM-LIKE CELL LINES PRODUCED BY CROSS SPECIES NUCLEAR TRANSPLANTATION AND METHODS FOR ENHANCING EMBRYONIC DEVELOPMENT BY GENETIC ALTERATION OF DONOR CELLS OR BY TISSUE CULTURE CONDITIONS ,
WO2006035275A3,A METHOD FOR PROTECTING IMPLANTABLE SENSORS AND PROTECTED IMPLANTABLE SENSORS ,
WO2000073427A3,ACETYLCHOLINESTERASE-DERIVED PEPTIDES AND USES THEREOF ,
WO2004022738A8,METHODS AND COMPOSITIONS FOR THE GENERATION OF HUMANIZED MICE ,
WO2009152529A3,PROGRAMMING AND REPROGRAMMING OF CELLS ,
WO2006105254A3,LIGHT AS A REPLACEMENT FOR MITROGENIC FACTORS ON PROGENITOR CELLS ,
WO1999047163A3,MESENCHYMAL STEM CELLS FOR PREVENTION AND TREATMENT OF IMMUNE RESPONSES IN TRANSPLANTATION ,
WO2003029426A3,HUMAN AND MURINE CYTOKINE POLYPEPTIDES ,
WO2010134666A1,"DUAL TARGETING ANTIBODY OF NOVEL FORM, AND USE THEREOF ",
WO1999011758A3,CULTURES OF HUMAN CNS NEURAL STEM CELLS ,
WO2009135905A3,MESENCHYMAL STEM CELLS AND BONE-FORMING CELLS ,
WO2003050249A3,ISLET CELLS FROM HUMAN EMBRYONIC STEM CELLS ,
WO2008100424A3,ANIMALS AND CELLS WITH GENOMIC TARGET SITES FOR TRANSPOSASE-MEDIATED TRANSGENESIS ,
WO2001048150A1,CELLS CAPABLE OF DIFFERENTIATING INTO HEART MUSCLE CELLS ,
WO2005084691B1,METHOD OF PROLIFERATING PRECURSOR CELLS ,
WO2000076454A2,THERAPEUTIC COMPOSITIONS FOR OPHTHALMIC USE AND THERAPEUTIC COMPOSITIONS FOR BRAIN CENTRAL LESIONS ,
WO2007054783A3,COMPOSITIONS AND METHODS FOR TREATING THROMBOCYTOPENIA ,
WO2007066423A1,TUMOR ANTIGEN PEPTIDE DERIVED FROM AMACR ,
WO2007035585A3,SYSTEMS AND METHODS FOR ENRICHMENT OF ANALYTES ,
WO2004098285A3,CRYOPRESERVATION OF HUMAN BLASTOCYST-DERIVED STEM CELLS BY USE OF A CLOSED STRAW VITRIFICATION METHOD ,
WO2007108559A1,AGONISTIC ANTIBODY DIRECTED AGAINST HUMAN THROMBOPOIETIN RECEPTOR ,
WO2008034074A3,CYCLOSPHOSPHAMIDE IN COMBINATION WITH ANTI-IDIOTYPIC VACCINES ,
WO2005095587A1,PROCESS FOR PRODUCING SOMATIC STEM CELL DIFFERENTIATED FROM EMBRYONIC STEM CELL AND USE OF THE SAME ,
WO2010119819A1,METHOD OF PREPARING HUMAN LUNG TISSUE STEM CELLS AND METHOD OF INDUCING DIFFERENTIATION INTO HUMAN ALVEOLAR EPITHELIAL CELLS ,
WO2004096972A3,APPARATUS AND METHODS FOR AMPLIFICATION OF BLOOD STEM CELL NUMBERS ,
WO2008153814A3,"MOLECULES INVOLVED IN REGULATION OF OSTEOBLAST ACTIVITY AND OSTEOCLAST ACTIVITY, AND METHODS OF USE THEREOF ",
WO2000008924A9,METHOD OF PERFORMING TRANSGENESIS ,
WO2009094172A3,TISSUE PROTECTIVE PEPTIDES AND PEPTIDE ANALOGS FOR PREVENTING AND TREATING DISEASES AND DISORDERS ASSOCIATED WITH TISSUE DAMAGE ,
WO2000070022A9,<i>EX VIVO</i> EXPANSION OF MAMMALIAN HEMATOPOIETIC STEM CELLS ,
WO2008045828A3,ROBOTIC SURGICAL SYSTEM AND METHOD FOR SURFACE MODELING ,
WO2003085119A1,METHOD OF ENHANCING ACTIVITY OF ANTIBODY COMPOSITION OF BINDING TO Fc&#947; RECEPTOR IIIa ,
WO2003070171A9,MYELINATION OF CONGENITALLY DYSMYELINATED FOREBRAINS USING OLIGODENDROCYTE PROGENITOR CELLS ,
WO2001005427A9,PSCA: PROSTATE STEM CELL ANTIGEN AND USES THEREOF ,
WO2002102989A3,METHOD FOR NEURAL STEM CELL DIFFERENTIATION USING VALPROATE ,
WO2006004910A9,IMPROVED BISPECIFIC ANTIBODIES ,
WO1999040180A9,EXPANDED AND GENETICALLY MODIFIED POPULATIONS OF HUMAN HEMATOPOIETIC STEM CELLS ,
WO2006134871A1,METHOD FOR TRANSFER OF GENE INTO FAT CELL OR PROGENITOR FAT CELL ,
WO2007051625A3,COMPOSITIONS AND METHODS FOR PRODUCING PLURIPOTENT CELLS FROM ADULT TESTIS ,
WO2008055145A3,ACTIVATED PROTEIN C VARIANTS WITH NORMAL CYTOPROTECTIVE ACTIVITY BUT REDUCED ANTICOAGULANT ACTIVITY ,
WO2009005909A3,BIODEGRADABLE TRIBLOCK COPOLYMERS FOR IMPLANTABLE DEVICES ,
WO2008002523A3,MATRIX AND METHOD FOR ISOLATION OF HEPATIC PROGENITOR CELLS ,
WO2008023163A3,COMPOSITE MATERIAL COMPRISING FIBRINOGEN AND BIOACTIVE GLASS AS A WOUND DRESSING ,
WO2004052305A3,LACTOFERRIN AS AN AGENT IN THE PREVENTION OF ORGAN TRANSPLANT REJECTION AND GRAFT-VERSUS-HOST-DISEASE ,
WO2010074758A3,COMPOSITIONS FOR PROMOTING EPIGENETIC DNA DEMETHYLATION AND METHODS OF USE THEREFORE ,
WO2003077864A3,METHODS AND COMPOSITIONS FOR DIRECTING CELLS TO TARGET ORGANS ,
WO2010033884A3,METHOD FOR THE TREATMENT OF RADIATION-INDUCED NEUTROPENIA BY ADMINISTRATION OF A MULTI-PEGYLATED GRANULOCYTE COLONY STIMULATING FACTOR (G-CSF) VARIANT ,
WO2007002136A3,DIFFERENTIATION OF PRIMATE PLURIPOTENT STEM CELLS TO CARDIOMYOCYTE-LINEAGE CELLS ,
WO2002097066A8,HUMAN VASCULAR PROGENITOR CELLS ,
WO2008092002A3,COMPOSITIONS AND METHODS FOR TREATING AND DIAGNOSING PANCREATIC CANCER ,
WO2006073417A3,PROPHYLACTIC AND THERAPEUTIC USES OF FGF-20 IN RADIATION PROTECTION ,
WO2006118630A3,PHOSPHOINOSITIDE MODULATION FOR THE TREATMENT OF ALZHEIMER'S DISEASE ,
WO2008085879A3,STEM CELL GROWTH MEDIA AND METHODS OF MAKING AND USING SAME ,
WO2004010852A3,TISSUE COMPOSITIONS AND METHODS FOR PRODUCING SAME ,
WO2008021908A3,MULTISTAGE DELIVERY OF ACTIVE AGENTS ,
WO1999040180A3,EXPANDED AND GENETICALLY MODIFIED POPULATIONS OF HUMAN HEMATOPOIETIC STEM CELLS ,
